Engine,Throughput,Avg_Latency,Total_Time,Total_Revenue
Apache Spark,593.4077581088304,28.76137184,168.51818776130676,2072383.9589996836
Apache Flink,523.1734156600753,37.378641359999996,191.14121055603027,2067123.9989996883
